Age,Age Group,City,customer_code,Year,Quarter,Month,Day,Sum of Estimated Settlement Amount,Sum of Final Premium Amount,Sum of Settlement %
19,18-24,Delhi NCR,SUNFL5A,2005,Qtr 2,May,28,₹ 7074,5250,0.348
19,18-24,Delhi NCR,SUNGR0,2005,Qtr 2,May,17,₹ 10308,7650,0.348
19,18-24,Delhi NCR,SUNHG,2005,Qtr 1,January,3,₹ 7074,5250,0.348
19,18-24,Delhi NCR,SUNHO48,2005,Qtr 2,June,23,₹ 7074,5250,0.348
19,18-24,Delhi NCR,SUNHXB,2005,Qtr 2,April,1,₹ 43997,32651,0.348
19,18-24,Delhi NCR,SUNIGA,2005,Qtr 3,July,9,₹ 44852,33285,0.348
19,18-24,Delhi NCR,SUNJ4Q,2005,Qtr 4,October,21,₹ 16493,12240,0.348
19,18-24,Delhi NCR,SUNJT7,2005,Qtr 2,April,11,₹ 7074,5250,0.348
19,18-24,Delhi NCR,SUNKKK,2005,Qtr 1,February,20,₹ 6738,5000,0.348
19,18-24,Delhi NCR,SUNKW,2005,Qtr 2,June,7,₹ 10409,7725,0.348
19,18-24,Delhi NCR,SUNL7,2005,Qtr 1,February,21,₹ 16493,12240,0.348
19,18-24,Delhi NCR,SUNLWFI,2005,Qtr 1,February,9,₹ 30420,22575,0.348
19,18-24,Delhi NCR,SUNM2R,2005,Qtr 4,October,8,₹ 23628,17535,0.348
19,18-24,Delhi NCR,SUNM4H,2005,Qtr 3,July,3,₹ 6738,5000,0.348
19,18-24,Delhi NCR,SUNM4Q,2005,Qtr 1,March,16,₹ 6872,5100,0.348
19,18-24,Delhi NCR,SUNMFI,2005,Qtr 3,September,30,₹ 43570,32334,0.348
19,18-24,Delhi NCR,SUNMI64,2005,Qtr 3,August,8,₹ 23628,17535,0.348
19,18-24,Delhi NCR,SUNMZ1,2005,Qtr 3,September,9,₹ 7074,5250,0.348
19,18-24,Delhi NCR,SUNNBGK,2005,Qtr 2,May,17,₹ 108238,80325,0.348
19,18-24,Delhi NCR,SUNNKXY,2005,Qtr 1,March,2,₹ 60132,44625,0.348
19,18-24,Delhi NCR,SUNNLY5,2005,Qtr 1,March,5,₹ 7074,5250,0.348
19,18-24,Delhi NCR,SUNNTRQ,2005,Qtr 4,October,17,₹ 6940,5150,0.348
19,18-24,Delhi NCR,SUNNWBN,2005,Qtr 3,August,31,₹ 6940,5150,0.348
19,18-24,Delhi NCR,SUNOFS,2005,Qtr 3,July,15,₹ 6738,5000,0.348
19,18-24,Delhi NCR,SUNONX5,2005,Qtr 3,August,29,₹ 10106,7500,0.348
19,18-24,Delhi NCR,SUNP1JD,2005,Qtr 3,September,1,₹ 10308,7650,0.348
19,18-24,Delhi NCR,SUNPHA,2005,Qtr 1,March,24,₹ 6872,5100,0.348
19,18-24,Delhi NCR,SUNPNF,2005,Qtr 2,May,6,₹ 6940,5150,0.348
19,18-24,Delhi NCR,SUNPQVB,2005,Qtr 3,September,16,₹ 16493,12240,0.348
19,18-24,Delhi NCR,SUNQ2Z7,2005,Qtr 1,March,16,₹ 6872,5100,0.348
19,18-24,Delhi NCR,SUNQAX0,2005,Qtr 1,February,14,₹ 10612,7875,0.348
19,18-24,Delhi NCR,SUNQF3E,2005,Qtr 3,September,2,₹ 6738,5000,0.348
19,18-24,Delhi NCR,SUNQF8,2005,Qtr 2,June,25,₹ 30420,22575,0.348
19,18-24,Delhi NCR,SUNQKE1,2005,Qtr 2,April,9,₹ 10409,7725,0.348
19,18-24,Delhi NCR,SUNQLFQ,2005,Qtr 2,May,9,₹ 6940,5150,0.348
19,18-24,Delhi NCR,SUNQPF9,2005,Qtr 2,June,2,₹ 105145,78030,0.348
19,18-24,Delhi NCR,SUNQT2G,2005,Qtr 1,February,17,₹ 7074,5250,0.348
19,18-24,Delhi NCR,SUNQXM,2005,Qtr 2,April,12,₹ 6940,5150,0.348
19,18-24,Delhi NCR,SUNR99,2005,Qtr 2,June,17,₹ 16979,12600,0.348
19,18-24,Delhi NCR,SUNRDW,2005,Qtr 3,July,24,₹ 30420,22575,0.348
19,18-24,Delhi NCR,SUNRIV,2005,Qtr 1,March,9,₹ 6872,5100,0.348
19,18-24,Delhi NCR,SUNRMT,2005,Qtr 1,February,9,₹ 16979,12600,0.348
19,18-24,Delhi NCR,SUNRXPP,2005,Qtr 2,April,2,₹ 23628,17535,0.348
19,18-24,Delhi NCR,SUNS3B,2005,Qtr 3,September,8,₹ 6872,5100,0.348
19,18-24,Delhi NCR,SUNS5C,2005,Qtr 1,February,19,₹ 6738,5000,0.348
19,18-24,Delhi NCR,SUNSSVU,2005,Qtr 2,May,20,₹ 6872,5100,0.348
19,18-24,Delhi NCR,SUNSVLU,2005,Qtr 2,April,20,₹ 7074,5250,0.348
19,18-24,Delhi NCR,SUNT1T2,2005,Qtr 4,October,17,₹ 10308,7650,0.348
19,18-24,Delhi NCR,SUNT4,2005,Qtr 3,July,24,₹ 10308,7650,0.348
19,18-24,Delhi NCR,SUNTRVU,2005,Qtr 3,September,15,₹ 7074,5250,0.348
19,18-24,Delhi NCR,SUNU2,2005,Qtr 2,April,11,₹ 23628,17535,0.348
19,18-24,Delhi NCR,SUNU2EC,2005,Qtr 2,May,21,₹ 166551,123600,0.348
19,18-24,Delhi NCR,SUNU5Z,2005,Qtr 3,August,18,₹ 10308,7650,0.348
19,18-24,Delhi NCR,SUNU7YY,2005,Qtr 3,August,16,₹ 10308,7650,0.348
19,18-24,Delhi NCR,SUNUMD,2005,Qtr 3,September,9,₹ 6738,5000,0.348
19,18-24,Delhi NCR,SUNV405,2005,Qtr 3,September,2,₹ 16493,12240,0.348
19,18-24,Delhi NCR,SUNVG8,2005,Qtr 3,July,13,₹ 10409,7725,0.348
19,18-24,Delhi NCR,SUNVTWL,2005,Qtr 3,September,1,₹ 10612,7875,0.348
19,18-24,Delhi NCR,SUNVY7,2005,Qtr 2,June,19,₹ 16979,12600,0.348
19,18-24,Delhi NCR,SUNVZDU,2005,Qtr 1,January,22,₹ 6738,5000,0.348
19,18-24,Delhi NCR,SUNW64X,2005,Qtr 4,October,16,₹ 6872,5100,0.348
19,18-24,Delhi NCR,SUNWDVT,2005,Qtr 3,September,5,₹ 7074,5250,0.348
19,18-24,Delhi NCR,SUNWO1,2005,Qtr 2,June,29,₹ 10612,7875,0.348
19,18-24,Delhi NCR,SUNX9H,2005,Qtr 4,October,24,₹ 10612,7875,0.348
19,18-24,Delhi NCR,SUNXF4,2005,Qtr 2,May,6,₹ 6872,5100,0.348
19,18-24,Delhi NCR,SUNXGAE,2005,Qtr 2,May,10,₹ 7074,5250,0.348
19,18-24,Delhi NCR,SUNXIIS,2005,Qtr 3,July,25,₹ 6872,5100,0.348
19,18-24,Delhi NCR,SUNXUF1,2005,Qtr 2,May,19,₹ 6872,5100,0.348
19,18-24,Delhi NCR,SUNY3P,2005,Qtr 1,February,27,₹ 6940,5150,0.348
19,18-24,Delhi NCR,SUNYE9K,2005,Qtr 1,March,14,₹ 6738,5000,0.348
19,18-24,Delhi NCR,SUNYEC,2005,Qtr 2,April,7,₹ 6872,5100,0.348
19,18-24,Delhi NCR,SUNYEKS,2005,Qtr 3,September,4,₹ 7074,5250,0.348
19,18-24,Delhi NCR,SUNYIAL,2005,Qtr 2,May,10,₹ 6872,5100,0.348
19,18-24,Delhi NCR,SUNYJK,2005,Qtr 1,March,24,₹ 22953,17034,0.348
19,18-24,Delhi NCR,SUNYN7G,2005,Qtr 3,July,22,₹ 16170,12000,0.348
19,18-24,Delhi NCR,SUNYXL,2005,Qtr 1,February,4,₹ 6872,5100,0.348
19,18-24,Delhi NCR,SUNYYQ,2005,Qtr 1,March,21,₹ 10308,7650,0.348
19,18-24,Delhi NCR,SUNZA,2005,Qtr 3,August,23,₹ 22503,16700,0.348
19,18-24,Delhi NCR,SUNZKC,2005,Qtr 1,March,26,₹ 6872,5100,0.348
19,18-24,Delhi NCR,SUNZL7E,2005,Qtr 1,February,25,₹ 6872,5100,0.348
19,18-24,Delhi NCR,SUNZLTW,2005,Qtr 2,April,28,₹ 6738,5000,0.348
19,18-24,Delhi NCR,SUNZTT,2005,Qtr 2,June,22,₹ 42716,31700,0.348
19,18-24,Hyderabad,SUN05H,2005,Qtr 2,June,18,₹ 6738,5000,0.348
19,18-24,Hyderabad,SUN0SUW,2005,Qtr 4,October,22,₹ 10409,7725,0.348
19,18-24,Hyderabad,SUN190,2005,Qtr 2,April,22,₹ 28971,21500,0.348
19,18-24,Hyderabad,SUN3WCE,2005,Qtr 2,May,17,₹ 16493,12240,0.348
19,18-24,Hyderabad,SUN3XU,2005,Qtr 2,April,20,₹ 6872,5100,0.348
19,18-24,Hyderabad,SUN49HA,2005,Qtr 3,July,7,₹ 29840,22145,0.348
19,18-24,Hyderabad,SUN76K,2005,Qtr 4,October,16,₹ 16493,12240,0.348
19,18-24,Hyderabad,SUN82F,2005,Qtr 3,August,12,₹ 58414,43350,0.348
19,18-24,Hyderabad,SUN9F8,2005,Qtr 2,May,3,₹ 29551,21930,0.348
19,18-24,Hyderabad,SUN9XF,2005,Qtr 3,July,19,₹ 22953,17034,0.348
19,18-24,Hyderabad,SUNBE8,2005,Qtr 3,July,5,₹ 6738,5000,0.348
19,18-24,Hyderabad,SUNCKP,2005,Qtr 3,July,3,₹ 10106,7500,0.348
19,18-24,Hyderabad,SUNCW24,2005,Qtr 2,June,6,₹ 6872,5100,0.348
19,18-24,Hyderabad,SUND1BI,2005,Qtr 3,July,28,₹ 6738,5000,0.348
19,18-24,Hyderabad,SUNDZV,2005,Qtr 2,May,26,₹ 10308,7650,0.348
19,18-24,Hyderabad,SUNG2M,2005,Qtr 2,April,7,₹ 10612,7875,0.348
19,18-24,Hyderabad,SUNH0R6,2005,Qtr 3,September,14,₹ 7074,5250,0.348
19,18-24,Hyderabad,SUNH5Y,2005,Qtr 2,May,14,₹ 6872,5100,0.348
19,18-24,Hyderabad,SUNHVO,2005,Qtr 2,May,31,₹ 16170,12000,0.348
19,18-24,Hyderabad,SUNHW1,2005,Qtr 3,July,1,₹ 6872,5100,0.348
19,18-24,Hyderabad,SUNJ7FJ,2005,Qtr 1,February,26,₹ 6940,5150,0.348
19,18-24,Hyderabad,SUNK148,2005,Qtr 2,June,9,₹ 6940,5150,0.348
19,18-24,Hyderabad,SUNK25W,2005,Qtr 2,April,10,₹ 7074,5250,0.348
19,18-24,Hyderabad,SUNK7AN,2005,Qtr 2,April,21,₹ 6872,5100,0.348
19,18-24,Hyderabad,SUNKAU,2005,Qtr 4,October,21,₹ 44852,33285,0.348
19,18-24,Hyderabad,SUNKXI,2005,Qtr 2,May,18,₹ 16170,12000,0.348
19,18-24,Hyderabad,SUNKZ3H,2005,Qtr 3,August,12,₹ 43570,32334,0.348
19,18-24,Hyderabad,SUNL6DF,2005,Qtr 1,February,8,₹ 6872,5100,0.348
19,18-24,Hyderabad,SUNLHBX,2005,Qtr 2,May,25,₹ 30420,22575,0.348
19,18-24,Hyderabad,SUNM2O,2005,Qtr 1,March,28,₹ 7074,5250,0.348
19,18-24,Hyderabad,SUNMW,2005,Qtr 3,July,11,₹ 10409,7725,0.348
19,18-24,Hyderabad,SUNO7W,2005,Qtr 2,April,28,₹ 6738,5000,0.348
19,18-24,Hyderabad,SUNOFSK,2005,Qtr 3,August,4,₹ 16979,12600,0.348
19,18-24,Hyderabad,SUNPCB4,2005,Qtr 3,September,27,₹ 169785,126000,0.348
19,18-24,Hyderabad,SUNPJ8,2005,Qtr 2,May,18,₹ 16493,12240,0.348
19,18-24,Hyderabad,SUNPTFA,2005,Qtr 3,September,17,₹ 16979,12600,0.348
19,18-24,Hyderabad,SUNQ9S3,2005,Qtr 2,May,30,₹ 10612,7875,0.348
19,18-24,Hyderabad,SUNQAK,2005,Qtr 2,May,3,₹ 10308,7650,0.348
19,18-24,Hyderabad,SUNQB43,2005,Qtr 1,March,10,₹ 6940,5150,0.348
19,18-24,Hyderabad,SUNRMX,2005,Qtr 2,June,2,₹ 6872,5100,0.348
19,18-24,Hyderabad,SUNTPB,2005,Qtr 4,October,25,₹ 16493,12240,0.348
19,18-24,Hyderabad,SUNU5X,2005,Qtr 2,June,30,₹ 57269,42500,0.348
19,18-24,Hyderabad,SUNUXOM,2005,Qtr 1,March,2,₹ 6940,5150,0.348
19,18-24,Hyderabad,SUNVMS6,2005,Qtr 1,March,17,₹ 6940,5150,0.348
19,18-24,Hyderabad,SUNW61,2005,Qtr 1,January,17,₹ 16493,12240,0.348
19,18-24,Hyderabad,SUNWIR,2005,Qtr 1,February,26,₹ 10612,7875,0.348
19,18-24,Hyderabad,SUNWY1,2005,Qtr 2,June,15,₹ 6940,5150,0.348
19,18-24,Hyderabad,SUNX9DT,2005,Qtr 3,August,3,₹ 10106,7500,0.348
19,18-24,Hyderabad,SUNXDF2,2005,Qtr 1,January,2,₹ 6872,5100,0.348
19,18-24,Hyderabad,SUNY1J,2005,Qtr 2,April,30,₹ 6872,5100,0.348
19,18-24,Hyderabad,SUNYIY,2005,Qtr 3,September,3,₹ 6738,5000,0.348
19,18-24,Hyderabad,SUNYQA,2005,Qtr 1,March,13,₹ 10106,7500,0.348
19,18-24,Hyderabad,SUNZK,2005,Qtr 4,October,25,₹ 16655,12360,0.348
19,18-24,Hyderabad,SUNZRKS,2005,Qtr 2,April,4,₹ 16493,12240,0.348
19,18-24,Indore,SUN1FT,2005,Qtr 1,March,29,₹ 10612,7875,0.348
19,18-24,Indore,SUN3ID,2005,Qtr 3,August,7,₹ 10409,7725,0.348
19,18-24,Indore,SUN5BGV,2005,Qtr 3,July,7,₹ 6738,5000,0.348
19,18-24,Indore,SUN6NV6,2005,Qtr 3,August,24,₹ 16979,12600,0.348
19,18-24,Indore,SUN87KP,2005,Qtr 4,October,31,₹ 7074,5250,0.348
19,18-24,Indore,SUNBGL,2005,Qtr 3,July,23,₹ 22953,17034,0.348
19,18-24,Indore,SUNC9,2005,Qtr 3,August,26,₹ 6940,5150,0.348
19,18-24,Indore,SUNETW,2005,Qtr 3,August,26,₹ 10612,7875,0.348
19,18-24,Indore,SUNIC1H,2005,Qtr 1,January,8,₹ 10612,7875,0.348
19,18-24,Indore,SUNIPE,2005,Qtr 4,October,24,₹ 16979,12600,0.348
19,18-24,Indore,SUNKBKQ,2005,Qtr 1,February,3,₹ 6738,5000,0.348
19,18-24,Indore,SUNKKW,2005,Qtr 1,February,3,₹ 6738,5000,0.348
19,18-24,Indore,SUNMM7,2005,Qtr 1,January,14,₹ 10612,7875,0.348
19,18-24,Indore,SUNOJ1N,2005,Qtr 2,April,27,₹ 16170,12000,0.348
19,18-24,Indore,SUNOY8B,2005,Qtr 3,September,16,₹ 10409,7725,0.348
19,18-24,Indore,SUNOYR4,2005,Qtr 4,October,1,₹ 43997,32651,0.348
19,18-24,Indore,SUNQIB,2005,Qtr 2,June,14,₹ 30420,22575,0.348
19,18-24,Indore,SUNR8WI,2005,Qtr 1,March,6,₹ 10308,7650,0.348
19,18-24,Indore,SUNR8WW,2005,Qtr 4,October,24,₹ 16170,12000,0.348
19,18-24,Indore,SUNRUD9,2005,Qtr 3,September,23,₹ 6738,5000,0.348
19,18-24,Indore,SUNTIV,2005,Qtr 3,September,2,₹ 16493,12240,0.348
19,18-24,Indore,SUNTY2,2005,Qtr 3,September,7,₹ 29551,21930,0.348
19,18-24,Indore,SUNUBRV,2005,Qtr 2,April,14,₹ 10612,7875,0.348
19,18-24,Indore,SUNUMNB,2005,Qtr 3,August,14,₹ 16655,12360,0.348
19,18-24,Indore,SUNYHH,2005,Qtr 3,September,6,₹ 10308,7650,0.348
19,18-24,Mumbai,SUN05O,2005,Qtr 3,July,4,₹ 28971,21500,0.348
19,18-24,Mumbai,SUN0TNO,2005,Qtr 3,August,30,₹ 58414,43350,0.348
19,18-24,Mumbai,SUN1EA,2005,Qtr 3,September,16,₹ 10409,7725,0.348
19,18-24,Mumbai,SUN1L4O,2005,Qtr 3,September,8,₹ 108238,80325,0.348
19,18-24,Mumbai,SUN1QE,2005,Qtr 3,July,30,₹ 169785,126000,0.348
19,18-24,Mumbai,SUN243,2005,Qtr 4,October,29,₹ 10612,7875,0.348
19,18-24,Mumbai,SUN243Q,2005,Qtr 1,February,18,₹ 16170,12000,0.348
19,18-24,Mumbai,SUN2W7,2005,Qtr 1,January,21,₹ 29551,21930,0.348
19,18-24,Mumbai,SUN31C,2005,Qtr 2,May,20,₹ 16493,12240,0.348
19,18-24,Mumbai,SUN37D,2005,Qtr 1,January,7,₹ 6940,5150,0.348
19,18-24,Mumbai,SUN3PKF,2005,Qtr 1,January,1,₹ 10308,7650,0.348
19,18-24,Mumbai,SUN3TNT,2005,Qtr 3,July,21,₹ 22953,17034,0.348
19,18-24,Mumbai,SUN4,2005,Qtr 1,February,6,₹ 16979,12600,0.348
19,18-24,Mumbai,SUN42,2005,Qtr 3,August,29,₹ 6872,5100,0.348
19,18-24,Mumbai,SUN4LG,2005,Qtr 3,July,9,₹ 16493,12240,0.348
19,18-24,Mumbai,SUN4N3,2005,Qtr 4,October,27,₹ 6872,5100,0.348
19,18-24,Mumbai,SUN4VIZ,2005,Qtr 2,May,15,₹ 10612,7875,0.348
19,18-24,Mumbai,SUN4YWH,2005,Qtr 3,August,2,₹ 105145,78030,0.348
19,18-24,Mumbai,SUN52OB,2005,Qtr 3,July,20,₹ 7074,5250,0.348
19,18-24,Mumbai,SUN59XS,2005,Qtr 1,January,15,₹ 6940,5150,0.348
19,18-24,Mumbai,SUN5E8,2005,Qtr 4,October,8,₹ 7074,5250,0.348
19,18-24,Mumbai,SUN5FU,2005,Qtr 3,September,17,₹ 6738,5000,0.348
19,18-24,Mumbai,SUN63F3,2005,Qtr 2,April,4,₹ 57269,42500,0.348
19,18-24,Mumbai,SUN65W,2005,Qtr 1,January,21,₹ 7074,5250,0.348
19,18-24,Mumbai,SUN6HB8,2005,Qtr 3,September,13,₹ 6872,5100,0.348
19,18-24,Mumbai,SUN6HJ,2005,Qtr 3,September,22,₹ 7074,5250,0.348
19,18-24,Mumbai,SUN6RB,2005,Qtr 1,January,23,₹ 6738,5000,0.348
19,18-24,Mumbai,SUN71LE,2005,Qtr 2,June,18,₹ 16493,12240,0.348
19,18-24,Mumbai,SUN7MFW,2005,Qtr 2,May,2,₹ 6738,5000,0.348
19,18-24,Mumbai,SUN7R2,2005,Qtr 2,June,9,₹ 28971,21500,0.348
19,18-24,Mumbai,SUN7Z4,2005,Qtr 4,October,9,₹ 43570,32334,0.348
19,18-24,Mumbai,SUN87IP,2005,Qtr 1,March,2,₹ 10106,7500,0.348
19,18-24,Mumbai,SUN87VU,2005,Qtr 2,April,2,₹ 6872,5100,0.348
19,18-24,Mumbai,SUN8CGA,2005,Qtr 1,March,13,₹ 6872,5100,0.348
19,18-24,Mumbai,SUN8FI,2005,Qtr 4,October,14,₹ 7074,5250,0.348
19,18-24,Mumbai,SUN8K,2005,Qtr 1,March,19,₹ 23628,17535,0.348
19,18-24,Mumbai,SUNA1MK,2005,Qtr 3,September,20,₹ 169785,126000,0.348
19,18-24,Mumbai,SUNA9V,2005,Qtr 4,October,12,₹ 23628,17535,0.348
19,18-24,Mumbai,SUNAR9,2005,Qtr 3,September,24,₹ 16493,12240,0.348
19,18-24,Mumbai,SUNBGR,2005,Qtr 3,August,10,₹ 7074,5250,0.348
