customer_code,date,Sum of final_premium_amt(INR),policy_id,sales_mode
SUN04,2023-04-13 00:00:00,14364,POL3309HEL,Online-App
SUN040,2023-02-18 00:00:00,9270,POL4331HEL,Offline-Agent
SUN041,2022-11-21 00:00:00,7875,POL4331HEL,Offline-Direct
SUN0411,2023-04-08 00:00:00,32056,POL6303HEL,Online-Website
SUN045,2023-04-27 00:00:00,21919,POL5319HEL,Offline-Agent
SUN0463,2023-03-01 00:00:00,16632,POL3309HEL,Offline-Agent
SUN0491,2022-11-08 00:00:00,20708,POL5319HEL,Offline-Agent
SUN049F,2023-02-14 00:00:00,52968,POL9221HEL,Offline-Agent
SUN04A,2023-04-29 00:00:00,19639,POL5319HEL,Online-App
SUN04DD,2022-11-28 00:00:00,22879,POL5319HEL,Offline-Agent
SUN04F,2023-04-25 00:00:00,41273,POL6093HEL,Online-Website
SUN04F1,2022-11-07 00:00:00,12600,POL3309HEL,Offline-Agent
SUN04F7,2023-03-03 00:00:00,64706,POL9221HEL,Online-App
SUN04HP,2022-11-17 00:00:00,5000,POL4321HEL,Offline-Agent
SUN04I,2023-01-01 00:00:00,9409,POL4331HEL,Offline-Agent
SUN04J,2022-11-16 00:00:00,14880,POL3309HEL,Offline-Direct
SUN04L,2023-01-05 00:00:00,33627,POL6093HEL,Online-Website
SUN04LK,2023-01-02 00:00:00,12240,POL3309HEL,Online-App
SUN04MF,2023-04-03 00:00:00,5670,POL4321HEL,Online-App
SUN04O,2023-03-31 00:00:00,12600,POL3309HEL,Offline-Agent
SUN04R,2023-03-22 00:00:00,84341,POL1048HEL,Offline-Direct
SUN04VY,2023-02-24 00:00:00,35590,POL6093HEL,Offline-Direct
SUN04W,2023-02-06 00:00:00,24253,POL5319HEL,Offline-Direct
SUN04WC,2022-12-19 00:00:00,85833,POL1048HEL,Offline-Agent
SUN05,2023-01-14 00:00:00,30263,POL6303HEL,Online-App
SUN051S,2023-03-09 00:00:00,14868,POL3309HEL,Offline-Agent
SUN052,2022-12-13 00:00:00,51411,POL6093HEL,Offline-Agent
SUN056,2023-01-06 00:00:00,5100,POL4321HEL,Online-App
SUN057U,2023-04-16 00:00:00,126110,POL1048HEL,Offline-Direct
SUN0587,2023-03-01 00:00:00,8190,POL4331HEL,Offline-Agent
SUN0596,2022-11-06 00:00:00,14640,POL3309HEL,Offline-Direct
SUN05C,2023-03-13 00:00:00,8269,POL4331HEL,Offline-Agent
SUN05D,2023-04-19 00:00:00,142380,POL2005HEL,Online-Website
SUN05E,2023-01-29 00:00:00,21930,POL6303HEL,Offline-Agent
SUN05F,2023-02-13 00:00:00,14214,POL3309HEL,Offline-Direct
SUN05FQ,2022-12-29 00:00:00,5406,POL4321HEL,Offline-Direct
SUN05H,2022-11-20 00:00:00,5000,POL4321HEL,Offline-Agent
SUN05H6,2023-01-05 00:00:00,13464,POL3309HEL,Offline-Agent
SUN05I,2022-11-14 00:00:00,169200,POL2005HEL,Offline-Agent
SUN05JD,2023-04-10 00:00:00,27542,POL6303HEL,Online-App
SUN05NO,2023-02-12 00:00:00,8961,POL4331HEL,Online-App
SUN05O,2022-11-11 00:00:00,21500,POL6303HEL,Offline-Agent
SUN05P,2023-01-22 00:00:00,10633,POL4331HEL,Offline-Agent
SUN05S,2023-02-13 00:00:00,5150,POL4321HEL,Offline-Agent
SUN05VL,2023-01-09 00:00:00,29386,POL6303HEL,Online-App
SUN05YB,2023-02-28 00:00:00,9811,POL4331HEL,Offline-Direct
SUN06,2023-01-18 00:00:00,5661,POL4321HEL,Offline-Agent
SUN061B,2023-03-18 00:00:00,6510,POL4321HEL,Offline-Agent
SUN061F,2023-03-24 00:00:00,7875,POL4331HEL,Online-Website
SUN063,2022-11-20 00:00:00,15480,POL3309HEL,Offline-Agent
SUN063W,2023-03-15 00:00:00,97996,POL1048HEL,Online-Website
SUN064Z,2022-11-26 00:00:00,6800,POL4321HEL,Offline-Agent
SUN065T,2023-04-25 00:00:00,30476,POL6303HEL,Online-App
SUN066,2023-04-29 00:00:00,6195,POL4321HEL,Online-App
SUN069Y,2023-03-07 00:00:00,47302,POL9221HEL,Offline-Direct
SUN06A,2023-01-18 00:00:00,78030,POL1048HEL,Offline-Agent
SUN06CZ,2023-01-08 00:00:00,9563,POL4331HEL,Offline-Agent
SUN06E,2022-12-17 00:00:00,44298,POL6093HEL,Offline-Agent
SUN06H8,2023-03-13 00:00:00,22971,POL5319HEL,Offline-Agent
SUN06I3,2022-11-12 00:00:00,13200,POL3309HEL,Offline-Agent
SUN06MN,2023-03-25 00:00:00,53550,POL9221HEL,Offline-Agent
SUN06O,2023-04-16 00:00:00,13230,POL3309HEL,Offline-Agent
SUN06P,2023-02-17 00:00:00,36896,POL6093HEL,Online-App
SUN06PI,2023-04-09 00:00:00,49980,POL9221HEL,Offline-Agent
SUN06R,2023-02-04 00:00:00,27903,POL6303HEL,Offline-Direct
SUN06SE,2023-01-10 00:00:00,13831,POL3309HEL,Online-App
SUN06TW,2023-02-23 00:00:00,5356,POL4321HEL,Offline-Direct
SUN06U,2023-03-06 00:00:00,37612,POL6093HEL,Offline-Agent
SUN06V,2023-01-21 00:00:00,37831,POL6093HEL,Offline-Direct
SUN06X,2022-12-08 00:00:00,8033,POL4331HEL,Offline-Agent
SUN06X2,2023-03-26 00:00:00,10552,POL4331HEL,Offline-Agent
SUN07,2023-03-14 00:00:00,8269,POL4331HEL,Online-App
SUN071L,2023-03-12 00:00:00,53550,POL9221HEL,Offline-Agent
SUN071P,2023-03-29 00:00:00,9056,POL4331HEL,Online-App
SUN074X,2023-04-19 00:00:00,19815,POL5319HEL,Online-App
SUN07D8,2022-11-13 00:00:00,10725,POL4331HEL,Offline-Agent
SUN07DS,2023-01-08 00:00:00,9409,POL4331HEL,Offline-Agent
SUN07E,2022-12-25 00:00:00,13464,POL3309HEL,Offline-Direct
SUN07F,2023-04-18 00:00:00,8662,POL4331HEL,Online-Website
SUN07K,2023-01-03 00:00:00,22315,POL5319HEL,Offline-Agent
SUN07L,2022-11-30 00:00:00,7800,POL4331HEL,Offline-Direct
SUN07NI,2022-11-09 00:00:00,156000,POL2005HEL,Offline-Agent
SUN07P3,2023-02-19 00:00:00,60847,POL9221HEL,Offline-Agent
SUN07Q,2023-01-28 00:00:00,5100,POL4321HEL,Offline-Agent
SUN07S,2022-12-13 00:00:00,5763,POL4321HEL,Offline-Agent
SUN07U,2023-01-08 00:00:00,19419,POL5319HEL,Offline-Direct
SUN07YV,2023-01-06 00:00:00,5406,POL4321HEL,Online-App
SUN08,2023-02-25 00:00:00,15079,POL3309HEL,Online-Website
SUN080,2022-11-25 00:00:00,7875,POL4331HEL,Offline-Agent
SUN083,2023-03-04 00:00:00,26864,POL6303HEL,Offline-Agent
SUN084,2023-02-25 00:00:00,6592,POL4321HEL,Offline-Agent
SUN086,2023-02-19 00:00:00,35916,POL6093HEL,Offline-Agent
SUN086X,2023-03-25 00:00:00,21217,POL5319HEL,Online-Website
SUN0871,2022-11-06 00:00:00,15960,POL3309HEL,Offline-Agent
SUN088,2023-03-21 00:00:00,13734,POL3309HEL,Online-App
SUN089,2023-01-30 00:00:00,14321,POL3309HEL,Offline-Agent
SUN08C,2022-12-25 00:00:00,9792,POL4331HEL,Online-Website
SUN08E,2023-03-05 00:00:00,41939,POL6093HEL,Offline-Direct
SUN08F,2023-01-29 00:00:00,22485,POL5319HEL,Offline-Agent
SUN08I4,2023-03-05 00:00:00,5250,POL4321HEL,Offline-Agent
SUN08JF,2023-01-05 00:00:00,6273,POL4321HEL,Offline-Direct
SUN08K,2022-12-17 00:00:00,12974,POL3309HEL,Offline-Agent
SUN08L,2023-02-19 00:00:00,14214,POL3309HEL,Online-App
SUN08NF,2023-03-16 00:00:00,104422,POL1048HEL,Online-App
SUN08Q,2022-12-07 00:00:00,167688,POL2005HEL,Offline-Agent
SUN08T6,2023-02-12 00:00:00,92190,POL1048HEL,Offline-Direct
SUN08W,2023-03-25 00:00:00,62029,POL9221HEL,Offline-Agent
SUN08X,2023-01-08 00:00:00,17034,POL5319HEL,Offline-Direct
SUN08X4,2023-04-02 00:00:00,17535,POL5319HEL,Offline-Direct
SUN08XV,2023-03-19 00:00:00,18236,POL5319HEL,Online-App
SUN08ZN,2023-01-25 00:00:00,12011,POL4331HEL,Offline-Agent
SUN09,2023-03-12 00:00:00,20691,POL5319HEL,Offline-Agent
SUN092,2023-03-27 00:00:00,9608,POL4331HEL,Online-App
SUN092H,2022-11-13 00:00:00,5300,POL4321HEL,Online-App
SUN093,2023-02-04 00:00:00,5871,POL4321HEL,Offline-Agent
SUN094,2023-03-26 00:00:00,43936,POL6093HEL,Offline-Agent
SUN098M,2023-03-26 00:00:00,13860,POL3309HEL,Online-App
SUN099,2023-01-18 00:00:00,10710,POL4331HEL,Offline-Direct
SUN09A,2023-03-11 00:00:00,46599,POL6093HEL,Offline-Agent
SUN09A5,2023-02-28 00:00:00,38855,POL6093HEL,Offline-Direct
SUN09A9,2022-12-31 00:00:00,27851,POL6303HEL,Offline-Direct
SUN09BJ,2023-03-05 00:00:00,154980,POL2005HEL,Offline-Agent
SUN09G,2022-11-12 00:00:00,5250,POL4321HEL,Offline-Agent
SUN09H,2023-03-21 00:00:00,18587,POL5319HEL,Online-Website
SUN09HG,2022-11-16 00:00:00,105570,POL1048HEL,Offline-Agent
SUN09NH,2023-04-15 00:00:00,45933,POL6093HEL,Offline-Agent
SUN09O,2023-02-26 00:00:00,5768,POL4321HEL,Offline-Agent
SUN09P9,2023-01-06 00:00:00,14933,POL3309HEL,Offline-Agent
SUN09RN,2023-04-23 00:00:00,19464,POL5319HEL,Online-App
SUN09T,2022-11-20 00:00:00,12000,POL3309HEL,Offline-Agent
SUN09X,2023-02-16 00:00:00,5150,POL4321HEL,Offline-Agent
SUN09Y,2022-12-09 00:00:00,13954,POL3309HEL,Offline-Agent
SUN0A,2023-03-06 00:00:00,52211,POL9221HEL,Offline-Agent
SUN0A0G,2023-03-05 00:00:00,54889,POL9221HEL,Offline-Agent
SUN0A4I,2023-03-03 00:00:00,151200,POL2005HEL,Offline-Agent
SUN0A5T,2023-04-29 00:00:00,152460,POL2005HEL,Online-App
SUN0AD,2023-02-11 00:00:00,13102,POL3309HEL,Online-App
SUN0AF2,2022-12-13 00:00:00,5304,POL4321HEL,Offline-Agent
SUN0AH,2022-12-21 00:00:00,44298,POL6093HEL,Offline-Agent
SUN0AM8,2023-03-18 00:00:00,8899,POL4331HEL,Offline-Agent
SUN0AN,2023-04-08 00:00:00,153720,POL2005HEL,Offline-Agent
SUN0AP,2023-03-23 00:00:00,5512,POL4321HEL,Online-App
SUN0AQ,2023-01-26 00:00:00,43328,POL6093HEL,Offline-Agent
SUN0AUZ,2023-03-26 00:00:00,32056,POL6303HEL,Online-Website
SUN0AW3,2023-01-22 00:00:00,43651,POL6093HEL,Offline-Agent
SUN0B,2023-01-31 00:00:00,15545,POL3309HEL,Offline-Direct
SUN0B4D,2023-03-14 00:00:00,21042,POL5319HEL,Online-App
SUN0B74,2023-02-17 00:00:00,5562,POL4321HEL,Offline-Agent
SUN0B8Z,2023-01-08 00:00:00,26403,POL5319HEL,Offline-Agent
SUN0B97,2023-03-10 00:00:00,6142,POL4321HEL,Offline-Agent
SUN0B9C,2023-03-21 00:00:00,22971,POL5319HEL,Offline-Agent
SUN0BA,2022-11-12 00:00:00,10050,POL4331HEL,Offline-Agent
SUN0BCR,2023-04-09 00:00:00,25736,POL6303HEL,Offline-Agent
SUN0BEL,2023-01-13 00:00:00,34274,POL6093HEL,Offline-Agent
SUN0BF,2022-12-20 00:00:00,7650,POL4331HEL,Offline-Direct
SUN0BFW,2022-11-22 00:00:00,16440,POL3309HEL,Offline-Agent
SUN0BG,2023-04-08 00:00:00,6878,POL4321HEL,Offline-Agent
SUN0BHA,2023-04-20 00:00:00,5250,POL4321HEL,Offline-Agent
SUN0BI,2022-12-08 00:00:00,13586,POL3309HEL,Offline-Agent
SUN0BJR,2023-03-04 00:00:00,13230,POL3309HEL,Offline-Direct
SUN0BL,2022-11-26 00:00:00,10050,POL4331HEL,Offline-Direct
SUN0BP,2023-03-19 00:00:00,156240,POL2005HEL,Offline-Agent
SUN0BPC,2023-03-22 00:00:00,154980,POL2005HEL,Offline-Agent
SUN0BR4,2023-04-01 00:00:00,68276,POL9221HEL,Offline-Direct
SUN0BW,2022-12-11 00:00:00,5865,POL4321HEL,Offline-Agent
SUN0BWH,2023-03-05 00:00:00,20516,POL5319HEL,Offline-Direct
SUN0BZU,2023-03-11 00:00:00,14490,POL3309HEL,Online-Website
SUN0C,2022-12-03 00:00:00,44944,POL6093HEL,Offline-Direct
SUN0C0,2023-01-28 00:00:00,7344,POL4321HEL,Online-Website
SUN0C5,2023-03-31 00:00:00,37612,POL6093HEL,Online-Website
SUN0C9,2022-12-30 00:00:00,13709,POL3309HEL,Offline-Agent
SUN0CBF,2023-03-14 00:00:00,13986,POL3309HEL,Offline-Agent
SUN0CGF,2022-12-03 00:00:00,5355,POL4321HEL,Offline-Direct
SUN0CH,2023-01-30 00:00:00,25439,POL6303HEL,Offline-Agent
SUN0CH0,2023-02-04 00:00:00,6746,POL4321HEL,Offline-Direct
SUN0CN,2023-02-25 00:00:00,187872,POL2005HEL,Online-App
SUN0CO,2023-02-26 00:00:00,5820,POL4321HEL,Offline-Direct
SUN0CP,2023-03-27 00:00:00,181440,POL2005HEL,Offline-Agent
SUN0CS,2022-11-24 00:00:00,13800,POL3309HEL,Offline-Agent
SUN0CX,2023-04-18 00:00:00,69615,POL9221HEL,Online-App
SUN0CYU,2023-04-16 00:00:00,55335,POL9221HEL,Offline-Agent
SUN0D,2022-11-14 00:00:00,7500,POL4331HEL,Offline-Agent
SUN0D3,2023-01-14 00:00:00,9945,POL4331HEL,Offline-Agent
SUN0D82,2023-04-11 00:00:00,7875,POL4331HEL,Online-App
SUN0DA,2022-11-27 00:00:00,15720,POL3309HEL,Offline-Agent
SUN0DAR,2022-12-18 00:00:00,8058,POL4321HEL,Offline-Agent
SUN0DB,2023-04-23 00:00:00,31605,POL6303HEL,Online-Website
SUN0DFA,2023-03-30 00:00:00,20867,POL5319HEL,Offline-Agent
SUN0DH,2023-03-30 00:00:00,20516,POL5319HEL,Online-App
SUN0DI,2023-03-27 00:00:00,13608,POL3309HEL,Online-Website
SUN0DLT,2023-04-30 00:00:00,7350,POL4321HEL,Offline-Agent
SUN0DQX,2022-11-19 00:00:00,13440,POL3309HEL,Offline-Agent
SUN0DRB,2023-02-15 00:00:00,55594,POL9221HEL,Offline-Agent
SUN0DS,2022-12-11 00:00:00,14810,POL3309HEL,Online-Website
SUN0DTE,2022-11-24 00:00:00,5800,POL4321HEL,Offline-Agent
SUN0DUK,2023-02-09 00:00:00,9193,POL4331HEL,Online-Website
SUN0DW,2022-12-25 00:00:00,7650,POL4331HEL,Offline-Direct
SUN0DWG,2022-11-06 00:00:00,87975,POL1048HEL,Offline-Direct
SUN0DWJ,2023-03-21 00:00:00,41939,POL6093HEL,Offline-Direct
SUN0DX,2022-12-10 00:00:00,21633,POL5319HEL,Offline-Agent
SUN0DXT,2023-04-15 00:00:00,14868,POL3309HEL,Offline-Agent
SUN0E,2023-03-25 00:00:00,14994,POL3309HEL,Offline-Agent
SUN0E0C,2023-04-18 00:00:00,126000,POL2005HEL,Online-Website
SUN0E0F,2023-03-06 00:00:00,29122,POL6303HEL,Online-App
SUN0E2,2023-02-26 00:00:00,70040,POL9221HEL,Offline-Agent
SUN0E5D,2023-02-25 00:00:00,50936,POL6093HEL,Offline-Agent
SUN0E6,2022-12-05 00:00:00,186048,POL2005HEL,Offline-Agent
SUN0E7,2022-12-23 00:00:00,9639,POL4331HEL,Offline-Direct
SUN0E7K,2022-11-30 00:00:00,10425,POL4331HEL,Offline-Agent
SUN0E8C,2023-02-26 00:00:00,111889,POL1048HEL,Offline-Agent
SUN0E8S,2023-03-08 00:00:00,48641,POL9221HEL,Offline-Agent
SUN0E9,2023-03-26 00:00:00,29573,POL6303HEL,Offline-Agent
SUN0E95,2023-01-30 00:00:00,22655,POL5319HEL,Online-Website
SUN0EC,2023-02-18 00:00:00,34284,POL6093HEL,Online-Website
SUN0EDW,2023-01-28 00:00:00,21463,POL5319HEL,Offline-Agent
SUN0EE,2022-12-08 00:00:00,58089,POL9221HEL,Offline-Direct
SUN0EI1,2023-03-10 00:00:00,8820,POL4331HEL,Offline-Direct
SUN0EJ5,2022-11-27 00:00:00,34236,POL6093HEL,Offline-Agent
SUN0EN,2023-04-29 00:00:00,6772,POL4321HEL,Offline-Agent
SUN0EPS,2023-01-18 00:00:00,7650,POL4331HEL,Offline-Direct
SUN0ES,2023-04-01 00:00:00,126914,POL1048HEL,Offline-Direct
SUN0ET,2023-01-08 00:00:00,5304,POL4321HEL,Offline-Agent
SUN0EX,2023-02-04 00:00:00,12978,POL3309HEL,Online-Website
SUN0EXP,2022-12-27 00:00:00,57655,POL9221HEL,Offline-Agent
SUN0EXR,2023-03-10 00:00:00,10159,POL4331HEL,Offline-Direct
SUN0EY,2023-03-06 00:00:00,9765,POL4331HEL,Online-Website
SUN0EZ,2022-11-05 00:00:00,7950,POL4331HEL,Offline-Agent
SUN0EZS,2023-01-15 00:00:00,5355,POL4321HEL,Offline-Agent
SUN0F,2023-04-08 00:00:00,8584,POL4331HEL,Offline-Agent
SUN0F6D,2022-12-16 00:00:00,81931,POL1048HEL,Offline-Agent
SUN0F9,2022-12-02 00:00:00,27851,POL6303HEL,Offline-Agent
SUN0FF,2023-03-14 00:00:00,5250,POL4321HEL,Online-App
SUN0FG,2023-03-22 00:00:00,10001,POL4331HEL,Online-Website
SUN0FLT,2023-03-30 00:00:00,6930,POL4321HEL,Online-Website
SUN0FP5,2023-03-13 00:00:00,28670,POL6303HEL,Offline-Agent
SUN0FUS,2023-01-04 00:00:00,23246,POL6303HEL,Offline-Agent
SUN0FXO,2023-04-30 00:00:00,25426,POL5319HEL,Online-Website
SUN0FZ,2023-03-26 00:00:00,68722,POL9221HEL,Offline-Agent
SUN0G,2022-11-12 00:00:00,24080,POL6303HEL,Offline-Direct
SUN0G0,2023-03-29 00:00:00,5250,POL4321HEL,Offline-Agent
SUN0G26,2023-03-14 00:00:00,90767,POL1048HEL,Offline-Agent
SUN0G40,2022-11-27 00:00:00,183600,POL2005HEL,Offline-Agent
SUN0G5,2023-04-16 00:00:00,20867,POL5319HEL,Offline-Agent
SUN0G6,2022-11-27 00:00:00,10500,POL4331HEL,Offline-Agent
SUN0G7,2023-04-02 00:00:00,8978,POL4331HEL,Online-App
SUN0GA1,2023-02-04 00:00:00,37549,POL6093HEL,Offline-Agent
SUN0GAK,2023-03-11 00:00:00,15372,POL3309HEL,Offline-Agent
SUN0GD,2023-01-03 00:00:00,184824,POL2005HEL,Offline-Agent
SUN0GE,2023-01-14 00:00:00,12240,POL3309HEL,Offline-Agent
SUN0GEG,2023-02-06 00:00:00,23049,POL5319HEL,Offline-Agent
SUN0GEI,2022-12-24 00:00:00,124068,POL1048HEL,Offline-Direct
SUN0GEK,2022-11-13 00:00:00,23547,POL5319HEL,Offline-Direct
SUN0GHK,2023-03-23 00:00:00,12600,POL3309HEL,Online-App
SUN0GIR,2023-04-22 00:00:00,8269,POL4331HEL,Online-Website
SUN0GJ,2022-12-19 00:00:00,39447,POL6093HEL,Offline-Agent
SUN0GL,2023-03-29 00:00:00,156240,POL2005HEL,Online-Website
SUN0GM,2023-02-19 00:00:00,186636,POL2005HEL,Online-App
SUN0GN,2023-02-24 00:00:00,14338,POL3309HEL,Offline-Agent
SUN0GP,2023-03-19 00:00:00,5460,POL4321HEL,Online-App
SUN0GQ,2022-12-08 00:00:00,25439,POL6303HEL,Offline-Agent
SUN0GQZ,2023-03-25 00:00:00,15246,POL3309HEL,Offline-Agent
SUN0GRI,2023-02-18 00:00:00,41793,POL6093HEL,Online-Website
SUN0GSY,2022-12-14 00:00:00,14076,POL3309HEL,Online-Website
SUN0GT,2023-02-12 00:00:00,45526,POL9221HEL,Offline-Agent
SUN0GTX,2022-12-18 00:00:00,7038,POL4321HEL,Online-App
SUN0GVN,2022-11-07 00:00:00,56525,POL9221HEL,Offline-Agent
SUN0GWB,2023-02-26 00:00:00,18061,POL5319HEL,Offline-Agent
SUN0GY3,2023-02-23 00:00:00,14585,POL3309HEL,Online-Website
SUN0H,2023-01-01 00:00:00,8415,POL4331HEL,Offline-Agent
SUN0H2,2023-01-06 00:00:00,8033,POL4331HEL,Offline-Agent
SUN0H4,2023-03-07 00:00:00,89161,POL1048HEL,Offline-Agent
SUN0H8,2023-02-17 00:00:00,97706,POL1048HEL,Online-Website
SUN0HBF,2023-03-03 00:00:00,27993,POL6303HEL,Offline-Agent
SUN0HO,2022-12-17 00:00:00,6375,POL4321HEL,Offline-Direct
SUN0HQM,2023-04-19 00:00:00,51592,POL6093HEL,Offline-Agent
SUN0HTK,2023-01-15 00:00:00,110803,POL1048HEL,Online-Website
SUN0HXE,2023-03-04 00:00:00,5565,POL4321HEL,Offline-Agent
SUN0HZB,2023-01-14 00:00:00,50286,POL9221HEL,Offline-Direct
SUN0HZS,2023-03-26 00:00:00,5250,POL4321HEL,Offline-Agent
SUN0I,2023-04-28 00:00:00,7088,POL4321HEL,Online-App
SUN0I1I,2023-03-20 00:00:00,62029,POL9221HEL,Online-Website
SUN0I2,2023-04-22 00:00:00,35948,POL6093HEL,Online-Website
SUN0I3,2022-11-12 00:00:00,9975,POL4331HEL,Offline-Agent
